evidence_id,stage,section_id,pdf_start_page,pdf_end_page,printed_start_page,printed_end_page,evidence_type,original_text_or_description,used_for,source_type,verification_status,notes
E-001,1,,1,1,,,封面,PDF封面；无正文印刷页码,确认一页页码偏移的来源,pdf_original,confirmed,
E-002,1,,2,2,1,1,正文页码锚点,“声明”页面，印刷页码1,确认PDF第2页对应正文第1页,pdf_original,confirmed,
E-003,1,,6,6,5,5,目录页,“目录”首页,确认目录起始页和双页码映射,pdf_original,confirmed,
E-004,1,,10,10,9,9,目录页,目录末页,确认目录终止页,pdf_original,confirmed,
E-005,1,,11,11,10,10,正文标题,第一节 释义,确认目录之后的正文锚点,pdf_original,confirmed,
E-006,1,C2,53,53,52,52,章节锚点,第四节相关内容及C2入口,确认目标章节页码映射,pdf_original+manual_confirmation,confirmed,
E-007,1,C3,58,58,57,57,章节锚点,三、发行人股份公司设立后的股东变化情况,确认目标章节页码映射,pdf_original+manual_confirmation,confirmed,页面上方仍有上一章节跨页图
E-008,1,C8,91,91,90,90,章节锚点,八、发行人股本情况,确认目标章节页码映射,pdf_original+manual_confirmation,confirmed,
E-009,1,C2,53,71,52,70,视觉复核范围,正文第52-70页存在跨页图表、流程图等,确定必须采用连续页面视觉核对,manual_confirmation,confirmed,
E-010,2,C2-1,53,53,52,52,子章节标题,（一）发行人的设立方式,确认C2-1起点,pdf_original+manual_confirmation,confirmed,
E-011,2,C2-2,55,55,54,54,子章节标题,（二）云汉有限的设立情况,确认C2-2起点,pdf_original+manual_confirmation,confirmed,
E-012,2,C2-3,56,56,55,55,子章节标题/跨页图,（三）云汉有限设立以来股本演变情况；转下图,确认C2-3起点及视觉结构,pdf_original+manual_confirmation,confirmed,
E-013,2,C2-3,58,58,57,57,跨页边界,续上图后开始C3,确认C2终点与C3同页起点,pdf_original+manual_confirmation,confirmed,
E-014,2,C3-1,58,58,57,57,子章节标题,（一）2018年4月，股份公司第一次股权转让,确认C3-1起点,pdf_original+manual_confirmation,confirmed,只记录标题，不提取事件数值
E-015,2,C3-2,59,59,58,58,子章节标题,（二）2018年6月至7月，股份公司增加注册资本暨第二次股权转让,确认C3-2起点,pdf_original+manual_confirmation,confirmed,
E-016,2,C3-3,61,61,60,60,子章节标题,（三）2019年8月，股份公司第三次股权转让,确认C3-3起点,pdf_original+manual_confirmation,confirmed,
E-017,2,C3-4,62,62,61,61,子章节标题,（四）2020年5月，股份公司第二次增资,确认C3-4起点,pdf_original+manual_confirmation,confirmed,
E-018,2,C3-5,63,63,62,62,子章节标题,（五）2020年9月，股份公司第三次增资和第四次股权转让,确认C3-5起点,pdf_original+manual_confirmation,confirmed,
E-019,2,C3-6,65,65,64,64,子章节标题,（六）对赌协议解除相关情况,确认C3-6起点,pdf_original+manual_confirmation,confirmed,
E-020,2,C3-7,70,70,69,69,同页标题组,（七）不存在股权代持等情形；（八）交易价格无明显异常；（九）……未分配利润为负的情况,确认C3-7至C3-9同页标题位置,pdf_original+manual_confirmation,confirmed,
E-021,2,C3-9,72,72,71,71,章节边界,C3-9内容尾页；随后进入第四项重大资产重组相关内容,确认C3终点,pdf_original+manual_confirmation,confirmed,
E-022,2,C7,79,79,78,78,二级章节标题,七、发行人主要股东及实际控制人的基本情况,确认辅助章节入口,pdf_original+manual_confirmation,confirmed,
E-023,2,C8,91,91,90,90,二级/子章节标题,八、发行人股本情况；（一）本次发行前后的股本情况,确认C8和C8-1起点,pdf_original+manual_confirmation,confirmed,
E-024,2,C8-2,93,93,92,92,同页标题组,（二）发行前本公司前十名股东；（三）本次发行前的前十名自然人股东及其在发行人处担任职务,确认C8-2和C8-3起点,pdf_original+manual_confirmation,confirmed,
E-025,2,C8-4,94,94,93,93,同页标题组,（四）国有及外资股份；（五）最近一年新增股东；（六）股东关联关系,确认C8-4至C8-6先后位置,pdf_original+manual_confirmation,confirmed,
E-026,2,C8-7,95,95,94,94,子章节标题,（七）特殊类型股东的有关情况,确认C8-7起点,pdf_original+manual_confirmation,confirmed,
E-027,2,C8-8,98,98,97,97,子章节标题,（八）股东穿透的有关情况,确认C8-8起点,pdf_original+manual_confirmation,confirmed,
E-028,2,C8-8,99,99,98,98,章节边界,股东穿透表尾部及第九章标题,确认C8终点与下一章同页边界,pdf_original+manual_confirmation,confirmed,
