event_id,parent_event_id,event_level,event_date,event_name,event_types,primary_section,pdf_start_page,pdf_end_page,printed_start_page,printed_end_page,evidence_excerpt,evidence_source,compound_event,duplicate_disclosure,shareholder_entry_exit_signal,review_status,stage4_action,notes
CE-001,,main,2008-05,上海云汉电子有限公司设立,establishment,C2-2,55,56,54,55,“共同申请设立公司前身上海云汉电子有限公司”；流程图：“2008年5月，有限公司设立”,pdf_text+flowchart_visual_review,false,C2-3流程图为概括性重复披露,深圳云汉电子、刘云锋为设立股东,confirmed,理解设立程序及初始股东关系,本阶段不提取或校验出资额、持股比例。
CE-002,,main,2009-12,有限公司第一次股权转让及增资,equity_transfer|capital_increase,C2-3,56,56,55,55,“2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元”,flowchart_visual_review,true,false,深圳云汉电子全部转让信号；曾烨进入信号,confirmed,拆分转让与增资两个组成部分,流程图右框披露转让后由曾烨、刘云锋按原持股比例增资。
CE-003,,main,2014-06,有限公司第二次股权转让,equity_transfer,C2-3,56,56,55,55,“2014年6月，有限公司第二次股权转让”,flowchart_visual_review,false,false,为赛咨询进入信号,confirmed,识别转让方、受让方及事件边界,流程图右框披露刘云锋向曾烨、为赛咨询转让股权。
CE-004,,main,2014-08,有限公司第二次增资,capital_increase,C2-3,56,56,55,55,“2014年8月，有限公司第二次增资，注册资本增至128.205万元”,flowchart_visual_review,false,false,力源信息、东方富海、芜湖富海进入信号,confirmed,理解增资参与方及新增股东状态,数值仅作为原文披露值留存。
CE-005,,main,2015-01,有限公司第三次增资,capital_increase,C2-3,56,56,55,55,“2015年1月，有限公司第三次增资，注册资本增至136.9864万元”,flowchart_visual_review,false,false,未仅凭流程图认定新增股东,confirmed,核对参与方是否均为原股东,右框中的增资数值留待阶段七校验。
CE-006,,main,2015-03,有限公司第四次增资（资本公积转增）,capital_increase|capital_reserve_conversion,C2-3,56,56,55,55,"“2015年3月，有限公司第四次增资，注册资本增至2,000万元”",flowchart_visual_review,false,false,无直接新增或退出信号,confirmed,确认资本公积转增的事件属性,流程图披露新增注册资本由各股东按持股比例以资本公积转增。
CE-007,,main,2015-08,有限公司第五次增资,capital_increase,C2-3,57,57,56,56,"“2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元”",flowchart_visual_review,false,false,深创投、丰利财富、镇江红土、昆山红土、富海深湾等进入信号,confirmed,识别各增资方是否为新增股东,该事件为首轮候选清单的流程图补识别漏项。
CE-008,,main,2015-12,有限公司整体变更设立股份公司,overall_conversion,C2-1,53,55,52,54,“发行人系由上海云汉电子有限公司整体变更设立”；流程图：“2015年12月，整体变更设立股份公司”,pdf_text+flowchart_visual_review,false,C2-3流程图及C3-9为补充或重复披露,不因整体变更本身推定股东新增或退出,confirmed,理解整体变更程序与前后主体连续性,净资产折股数值为原文披露值，本阶段不校验。
CE-009,,main,2018-04,股份公司第一次股权转让,equity_transfer,C3-1,58,59,57,58,“2018年4月，股份公司第一次股权转让”；“丰利财富将其持有的发行人全部股份转让给天健创投”,pdf_text+flowchart_visual_review,false,C2-3流程图与C3-1重复披露同一事件,丰利财富退出信号；天健创投进入信号,confirmed,确认全部转让及进入退出状态,不在本阶段提取股份数量。
CE-010,,main,2018-06/07,股份公司第一次增资和第二次股权转让,capital_increase|equity_transfer,C3-2,59,61,58,60,“2018年6月至7月，股份公司增加注册资本暨第二次股权转让”,pdf_text+flowchart_visual_review,true,C2-3流程图与C3-2重复披露同一复合事件,多名增资方、激励对象及股份受让方存在进入信号,confirmed,按增资批次和转让批次拆分子事件,本阶段不拆分各投资人或各笔转让。
CE-011,,main,2019-08,股份公司第三次股权转让,equity_transfer|employee_incentive_related,C3-3,61,62,60,61,“2019年8月，股份公司第三次股权转让”；“根据员工激励方案”,pdf_text+flowchart_visual_review,false,C2-3流程图与C3-3重复披露同一事件,李文发、秦国君进入或持股增加信号,confirmed,理解员工激励相关转让安排,不在本阶段认定激励对象是否首次持股。
CE-012,,main,2020-05,股份公司第二次增资,capital_increase,C3-4,62,63,61,62,“2020年5月，股份公司第二次增资”；流程图：“火炬电子增资”,pdf_text+flowchart_visual_review,false,C2-3流程图与C3-4重复披露同一事件,火炬电子进入信号,confirmed,确认火炬电子是否为新增股东,不在本阶段提取或校验增资金额。
CE-013,,main,2020-09,股份公司第三次增资和第四次股权转让,capital_increase|equity_transfer,C3-5,63,65,62,64,“2020年9月，股份公司第三次增资和第四次股权转让”,pdf_text+flowchart_visual_review,true,C2-3流程图与C3-5重复披露同一复合事件,增资方及多个股份受让方存在进入信号,confirmed,拆分增资及多笔股份转让子事件,本阶段不重建转让后股权结构。
CE-014,,group,,对赌协议解除相关事件组,special_rights_agreement|termination,C3-6,65,70,64,69,“（六）对赌协议解除相关情况”,pdf_text+manual_visual_confirmation,true,false,不适用,confirmed,按A、B、C、D、D+五轮逐轮理解协议及解除效果,父级事件组；不在阶段三判断条款内容或法律效力。
CE-014-A,CE-014,round_candidate,,A轮相关对赌协议及解除候选事项,special_rights_agreement|termination,C3-6,65,70,64,69,C3-6内“A轮”轮次标识,manual_visual_confirmation,false,false,不适用,confirmed,逐轮定位签署、变更及解除文本,精确子页边界留至阶段四。
CE-014-B,CE-014,round_candidate,,B轮相关对赌协议及解除候选事项,special_rights_agreement|termination,C3-6,65,70,64,69,C3-6内“B轮”轮次标识,manual_visual_confirmation,false,false,不适用,confirmed,逐轮定位签署、变更及解除文本,精确子页边界留至阶段四。
CE-014-C,CE-014,round_candidate,,C轮相关对赌协议及解除候选事项,special_rights_agreement|termination,C3-6,65,70,64,69,C3-6内“C轮”轮次标识,manual_visual_confirmation,false,false,不适用,confirmed,逐轮定位签署、变更及解除文本,精确子页边界留至阶段四。
CE-014-D,CE-014,round_candidate,,D轮相关对赌协议及解除候选事项,special_rights_agreement|termination,C3-6,65,70,64,69,C3-6内“D轮”轮次标识,manual_visual_confirmation,false,false,不适用,confirmed,逐轮定位签署、变更及解除文本,精确子页边界留至阶段四。
CE-014-DPLUS,CE-014,round_candidate,,D+轮相关对赌协议及解除候选事项,special_rights_agreement|termination,C3-6,65,70,64,69,C3-6内“D+轮”轮次标识,manual_visual_confirmation,false,false,不适用,confirmed,逐轮定位签署、变更及解除文本,精确子页边界留至阶段四。
